ID,Tên công việc,Tên công ty,Nơi làm việc,Mức lương,Ngày đăng tin,Ngày hết hạn,Link
35C5B5B2,Trưởng Nhóm Sản Xuất OSD (Mới),Orioled Hub,Bà Rịa - Vũng Tàu,Lương: 15 Tr - 23 Tr VND,15-10-2025,20-11-2025,https://careerviet.vn/vi/tim-viec-lam/truong-nhom-san-xuat-osd.35C5B5B2.html
35C50749,Chuyên viên đấu thầu (Bidding Specialist) (Mới),PTSC Offshore Services (POS),Bà Rịa - Vũng Tàu,Lương: Cạnh tranh,15-10-2025,15-11-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-dau-thau-bidding-specialist.35C50749.html
35C5B59D,Receptionist - Porsche Centre Saigon(Mới),Bảo mật,Hồ Chí Minh,Lương: Cạnh Tranh,15-10-2025,15-11-2025,https://careerviet.vn/vi/tim-viec-lam/receptionist-porsche-centre-saigon.35C5B59D.html
35C5B5A8,Chuyên viên Phân tích Nghiệp vụ/Business Analyst - Khối Chuyển đổi(Mới),Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Hà Nội,Lương: Cạnh Tranh,15-10-2025,13-11-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-phan-tich-nghiep-vu-business-analyst-khoi-chuyen-doi.35C5B5A8.html
35C5B5A7,Lập trình viên cấp cao/Senior Back End Developer - Khối Chuyển đổi(Mới),Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Hà Nội,Lương: Cạnh Tranh,15-10-2025,13-11-2025,https://careerviet.vn/vi/tim-viec-lam/lap-trinh-vien-cap-cao-senior-back-end-developer-khoi-chuyen-doi.35C5B5A7.html
35C5B5A5,Chuyên viên Kế hoạch và tài chính kinh doanh(Mới),Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Hà Nội,Lương: Cạnh Tranh,15-10-2025,13-11-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-ke-hoach-va-tai-chinh-kinh-doanh.35C5B5A5.html
35C5B5A4,Chuyên Viên Chính Sách Quản Trị Tài Chính Nội Bộ(Mới),Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Hà Nội,Lương: Cạnh Tranh,15-10-2025,13-11-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-chinh-sach-quan-tri-tai-chinh-noi-bo.35C5B5A4.html
35C5B5A3,Giám đốc Trung tâm Kinh doanh ngoại tệ(Mới),Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Hà Nội,Lương: Cạnh Tranh,15-10-2025,13-11-2025,https://careerviet.vn/vi/tim-viec-lam/giam-doc-trung-tam-kinh-doanh-ngoai-te.35C5B5A3.html
35C5B5A2,Chuyên viên Thẩm định Khách hàng Doanh nghiệp(Mới),Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Ninh Bình Hà Nam Nghệ An,Lương: Cạnh Tranh,15-10-2025,13-11-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-tham-dinh-khach-hang-doanh-nghiep.35C5B5A2.html
35C5B5A1,IT Compliance Office(Mới),Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Hà Nội,Lương: Cạnh Tranh,15-10-2025,13-11-2025,https://careerviet.vn/vi/tim-viec-lam/it-compliance-office.35C5B5A1.html
35C5B5A0,Phó Giám đốc Chi nhánh PT Khách hàng cá nhân(Mới),Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Hà Nội Tây Ninh,Lương: Cạnh Tranh,15-10-2025,13-11-2025,https://careerviet.vn/vi/tim-viec-lam/pho-giam-doc-chi-nhanh-pt-khach-hang-ca-nhan.35C5B5A0.html
35C5B4FF,"Tổng đài CSKH Viettel Post tại Lai xá ,Hoài Đức, Hà Nội. H1(Mới)",CÔNG TY CỔ PHẦN TRUYỀN THÔNG KIM CƯƠNG,Hà Nội,Lương: 7 Tr - 10 Tr VND,15-10-2025,30-11-2025,https://careerviet.vn/vi/tim-viec-lam/tong-dai-cskh-viettel-post-tai-lai-xa-hoai-duc-ha-noi-h1.35C5B4FF.html
35C5B599,"Nhân viên tổng đài ngân hàng quân đội MB  tại Đống Đa, Hà Nội H1(Mới)",CÔNG TY CỔ PHẦN TRUYỀN THÔNG KIM CƯƠNG,Hà Nội,Lương: 8 Tr - 12 Tr VND,15-10-2025,30-11-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-tong-dai-ngan-hang-quan-doi-mb-tai-dong-da-ha-noi-h1.35C5B599.html
35C5B59B,"Nhân viên CSKH ngân hàng quân đội MB tại Cát Linh,Đống Đa, Hà Nội (Xoay ca).H1(Mới)",CÔNG TY CỔ PHẦN TRUYỀN THÔNG KIM CƯƠNG,Hà Nội,Lương: 8 Tr - 12 Tr VND,15-10-2025,30-11-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-cskh-ngan-hang-quan-doi-mb-tai-cat-linh-dong-da-ha-noi-xoay-ca-h1.35C5B59B.html
